Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_Yes,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_Yes,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_Yes,Parental_Education_Level_High.School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male
0.5050391107285923,0.34449333802864646,-0.023816863917207498,-0.1434798052112149,-1.211763412562823,0.026514335563920743,67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1
-0.16324708184961575,-1.3870000304623924,0.657366804530993,-1.115675796023162,0.4090035047750579,0.9984018770965992,61,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
0.6721106588731444,1.5565386959723737,-0.023816863917207498,1.1064864686898601,0.4090035047750579,0.9984018770965992,74,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
1.5074683995959044,0.7773666801514062,0.657366804530993,1.5925844640958338,-0.40137995389388254,0.9984018770965992,71,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1
-0.16324708184961575,1.037090685425062,-0.7050005323654079,-0.6990203713894705,1.2193869634439984,0.9984018770965992,70,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
-0.16324708184961575,0.6907920117268542,0.657366804530993,0.9676013271452962,1.2193869634439984,0.026514335563920743,71,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1
1.5074683995959044,0.34449333802864646,-0.023816863917207498,-0.4906926590726246,-0.40137995389388254,-0.9453732059687577,67,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1
0.8391822070176964,-0.17495467251866517,-0.7050005323654079,-1.7406589329736997,-0.40137995389388254,-0.9453732059687577,66,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
-0.49739017813871983,1.2102400222741658,-0.7050005323654079,0.34261819019475875,-1.211763412562823,-1.9172607475014363,69,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1
0.5050391107285923,1.5565386959723737,0.657366804530993,-0.2823649467557788,-1.211763412562823,1.9702894186292779,72,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
-0.49739017813871983,-0.0018053356695612941,0.657366804530993,0.8981587563730143,2.029770422112939,0.9984018770965992,68,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
-0.49739017813871983,1.4699640275478216,-0.7050005323654079,0.8287161856007323,0.4090035047750579,-0.9453732059687577,71,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
0.1708960144394883,0.25791866960409454,0.657366804530993,1.5231418933235519,0.4090035047750579,0.9984018770965992,70,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
